road_nm,inst_plc,fac_hght,fac_wdth,fac_lngth,sprtn,cntns,lon,lat
엘지로,김경자소문난대구왕뽈찜 인근,10,360,1000,Y,N,127.0798715,37.1260583
동부대로,오산볼트공구 부근,10,360,800,Y,N,127.0793403,37.1265251
동부대로,한솔애드 앞,10,360,500,Y,N,127.0770117,37.1273294
동부대로,알엠 인근,10,360,1100,Y,N,127.0773186,37.1275603
동부대로,일렉파워전자 앞,10,360,1100,Y,N,127.0780473,37.1275733
청호로,오산자이아파트 부근,10,360,700,Y,N,127.0810392,37.1288238
청호로,오산자이아파트 부근,10,360,400,N,N,127.0805247,37.1291958
청호로,오산청호엘리시아아파트 101동 11시방향,10,360,600,Y,N,127.0813266,37.12920658
청호로,오산청호엘리시아아파트 앞,10,360,600,Y,N,127.0813266,37.1292336
청호로,오산청호엘리시아아파트 102동 11시방향,10,360,600,Y,N,127.0816337,37.12963888
엘지로,휴먼시아아파트 앞,10,360,700,Y,N,127.0890604,37.1291176
엘지로,오산청호아파트 버스정류장 정면,10,360,600,Y,N,127.0890324,37.1291177
청이로,청이로 23 3시방면,10,360,600,Y,N,127.0858703,37.12924618
엘지로,휴먼시아아파트 옆,10,360,700,Y,N,127.0858562,37.1292664
엘지로,가족민물매운탕 9시방향,10,360,1200,Y,N,127.0895955,37.12950023
엘지로,휴먼시아아파트 앞,10,360,1100,Y,N,127.0895364,37.1295227
남부대로,오산휴먼시아아파트 101동 10시방향,10,360,700,Y,N,127.0855531,37.12994248
엘지로,휴먼시아아파트 앞,10,360,900,Y,N,127.0856799,37.1300752
남부대로,오능이 부근,10,360,1400,Y,N,127.0890675,37.1303273
경기대로,갈곶초 부근,10,360,600,Y,N,127.0716651,37.1257752
경기대로,갈곶동성당 앞,10,360,900,Y,N,127.072456,37.1291807
경기대로,갈곶피오레아파트 입구,10,360,400,Y,N,127.0723351,37.1293071
오산로,서울제일교회 옆,10,360,600,Y,N,127.0717012,37.13137301
경기대로,김경옥가마솥추어탕 옆,10,360,300,Y,N,127.0719773,37.1317964
경기대로,원동현대힐스테이트아파트 후문 근방,10,360,600,Y,N,127.0739957,37.13294178
경기대로,힐스테이트후문앞.소리울도서관 버스정류장 앞,10,360,600,Y,N,127.0733745,37.13354813
경기대로,하늘땅교회앞,10,360,600,Y,N,127.0731215,37.13375328
경기대로,동부삼환 버스정류장 우측 30m,10,360,600,Y,N,127.0716444,37.13375644
남부대로,원동119안전센터 앞,10,360,600,Y,N,127.0723591,37.13378078
청호로,오산청호엘리시아아파트 앞,10,360,600,Y,N,127.0816534,37.1296636
청호로,오산청호엘리시아아파트 앞,10,360,1100,Y,N,127.0820534,37.13008011
동부대로,오산자이아파트 부근,10,360,400,N,N,127.0798646,37.1301491
청호로,엘리시아정문 버스정류장 1시방향,10,360,600,Y,N,127.082183,37.13026925
청호로,오산청호엘리시아아파트 앞,10,360,600,Y,N,127.082214,37.1302985
동부대로,오산자이아파트 부근,10,360,400,N,N,127.0797101,37.1303745
청호로,행복나무어린이집11시방향,10,360,600,Y,N,127.0824339,37.13068807
청호로,오산청호엘리시아아파트 앞,10,360,600,Y,N,127.0824366,37.1306948
동부대로,품어주는교회 앞,10,360,500,Y,N,127.0792895,37.1317376
동부대로,오산자이아파트 앞,10,360,700,Y,N,127.0795541,37.1317961
남부대로,오능이 앞,10,360,1400,Y,N,127.0887611,37.1304537
남부대로,행복한교회 6시방향,10,360,700,Y,N,127.0861756,37.13051646
엘지로,휴먼시아아파트 앞,10,360,900,Y,N,127.0861924,37.1305277
남부대로,차이나짬뽕 3시방향,10,360,700,Y,N,127.0867106,37.13099363
동부대로,오산자이아파트 옆,10,360,1100,Y,N,127.0832361,37.1310456
엘지로,오산청호행복주택아파트 앞,10,360,900,Y,N,127.0867331,37.1310521
청호로,영재빌딩 앞,10,360,1100,Y,N,127.0841141,37.1312838
남부대로,청호지역아동센터 앞,10,360,300,Y,N,127.0837291,37.1316805
청호로,순복음새중앙교회 앞,10,360,1100,Y,N,127.0849844,37.1320919
남부대로,진성빌딩 앞,10,360,300,Y,N,127.0839295,37.1322773
동부대로,오산자이아파트 앞,10,360,500,Y,N,127.0798074,37.1319941
동부대로,GS아파트정문 버스정류장 정면,10,360,400,Y,N,127.0798216,37.13199639
동부대로,오산자이아파트 103동 우측 도로,10,360,900,Y,N,127.081538,37.13223175
동부대로,오산자이아파트 옆,10,360,700,Y,N,127.0815436,37.1322431
경기대로,소리울도서관 앞,10,360,600,Y,Y,127.0746816,37.13228132
경기대로,소리울도서관 앞,10,360,600,Y,Y,127.0745494,37.13237827
경기대로,소리울도서관 앞,10,360,600,Y,Y,127.0745129,37.13241884
남부대로,고현아이파크 후문,10,360,800,Y,Y,127.0786691,37.1331234
남부대로,고현아이파크 후문,10,360,800,Y,Y,127.0787311,37.1331504
남부대로,융창상사 부근,10,360,500,N,N,127.0767701,37.1336271
남부대로,고현초 부근,10,360,1400,Y,N,127.0858822,37.1324134
남부대로,LG아파트 앞,10,360,300,N,N,127.0830856,37.1324244
남부대로,해오름어린이집 앞,10,360,400,Y,N,127.0840592,37.1325025
남부대로,태은빌 앞,10,360,400,Y,N,127.0844706,37.1325608
남부대로,고현초 앞,10,360,1400,Y,N,127.0851962,37.1328621
남부대로,고현초 앞,10,360,1400,Y,N,127.0847352,37.1331981
남부대로,춘희감자탕 인근,10,360,500,Y,N,127.0839761,37.1337415
남부대로,춘희감자탕 인근,10,360,500,Y,N,127.0840213,37.1338722
