sgg_nm,rd_type,addr,rd_no,rd_nm,lon,lat
오산시,시도,경기도 오산시 누읍동 589,,누읍로,127.048227,37.14106581
오산시,기타,경기도 오산시 원동 792,,대원로,127.073524,37.14560421
오산시,기타,경기도 오산시 원동 792,,대원로,127.073524,37.14560421
오산시,기타,경기도 오산시 원동 792-1,,대원로,127.0743051,37.14695002
오산시,기타,경기도 오산시 원동 792-1,,대원로,127.0743051,37.14695002
오산시,기타,경기도 오산시 원동 818,,대원로,127.0759126,37.14755723
오산시,기타,경기도 오산시 부산동 785,,운암로,127.0783897,37.15608682
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.082819,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.082819,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.0828328,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.0828328,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.0828328,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781-1,82번,경기동로,127.0828328,37.15840858
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 781,82번,경기동로,127.0831939,37.15922155
오산시,국가지원지방도,경기도 오산시 부산동 204-15,82번,경기동로,127.086207,37.1589269
오산시,국가지원지방도,경기도 오산시 부산동 204-15,82번,경기동로,127.086207,37.1589269
오산시,국가지원지방도,경기도 오산시 부산동 177-25,82번,경기동로,127.086064,37.1587085
오산시,국가지원지방도,경기도 오산시 부산동 177-25,82번,경기동로,127.086064,37.1587085
오산시,일반국도,경기도 오산시 원동 373-4,1번,경기대로,127.0737769,37.14115446
오산시,기타,경기도 오산시 원동 729-6,,말머리로,127.073807,37.1414705
