rd_nm,addr,crsswlk_type,crsswlk_wdth,crsswlk_lngth,lon,lat
오산로,경기도 오산시 갈곶동 711,1,4.0,7.0,127.0672024,37.13511283
오산로,경기도 오산시 갈곶동 711,1,4.0,6.0,127.0672024,37.1351166
오산로,경기도 오산시 갈곶동 711,1,4.0,26.0,127.0672024,37.13511283
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,6.0,11.0,127.0719597,37.12932929
경기대로,경기도 오산시 갈곶동 718,1,2.0,6.0,127.0719597,37.12932929
남부대로,경기도 오산시 고현동 109,4,4.0,25.0,127.0853656,37.132717
남부대로,경기도 오산시 고현동 111,1,4.0,17.0,127.0866164,37.13185801
남부대로,경기도 오산시 고현동 133,1,4.0,16.0,127.0874913,37.13155676
남부대로,경기도 오산시 고현동 137,1,2.0,9.0,127.0874001,37.131517
남부대로,경기도 오산시 고현동 17-3,4,4.0,7.0,127.0807971,37.13587151
남부대로,경기도 오산시 고현동 174-5,1,4.0,17.0,127.0888877,37.13042717
남부대로,경기도 오산시 고현동 191-1,1,4.0,17.0,127.091517,37.129796
남부대로,경기도 오산시 고현동 21-3,4,5.0,18.0,127.0816482,37.1355702
말머리로,경기도 오산시 고현동 21-3,4,4.0,12.0,127.0816482,37.1355702
말머리로,경기도 오산시 고현동 21-3,4,4.0,14.0,127.0816482,37.1355702
남부대로,경기도 오산시 고현동 21-8,4,4.0,7.0,127.0811377,37.13586984
남부대로,경기도 오산시 고현동 23-12,4,4.0,5.0,127.0815307,37.135932
남부대로,경기도 오산시 고현동 24,4,4.0,20.0,127.0813693,37.1360207
동부대로,경기도 오산시 고현동 269,1,6.0,11.0,127.0802098,37.13216601
동부대로,경기도 오산시 고현동 269,1,6.0,11.0,127.0802098,37.13216601
남부대로,경기도 오산시 고현동 275,1,4.0,8.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,1,4.0,20.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,20.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,6.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 275,4,4.0,6.0,127.0819683,37.13434198
남부대로,경기도 오산시 고현동 37,1,2.0,5.0,127.0824574,37.13501053
