instl_nm,instl_yr,lon,lat
엘리시아A 101동 뒷편,2021,127.081581,37.1284
청호 자이 후문앞,2010,127.08166819,37.12960575
원동 힐스테이트 부근,2013,127.07346753,37.13150733
원동 공룡국수 옆 사거리,2016,127.07511433,37.13789407
원동 농협 건너편,2008,127.07322947,37.13804545
한양수자인 삼거리,2019,127.08569457,37.14130777
한양수자인 입구,2019,127.08780736,37.14134634
이마트,2009,127.07372478,37.14166031
한국병원,2011,127.07634095,37.14177093
대원초교,2021,127.070255,37.130479
스위첸 사거리,2010,127.0682247,37.13147295
갈곶동 행복한식당 삼거리,2016,127.06965138,37.13201983
갈곶동 kcc일방통행 코너,2016,127.06831545,37.13271318
원동초 한솔아파트정문,2010,127.06887388,37.1347796
원일초교 부근,2010,127.07072055,37.13874229
원동 쿠팡물류센터 앞,2021,127.068721,37.139138
대림1단지 정문,2012,127.069643,37.1413446
유탑유블레스 사거리,2019,127.07204558,37.14139626
삼성디지털프라자 뒷편,2019,127.07269672,37.14199572
원동 현대연립 앞,2021,127.066657,37.142056
 CGV 오산중앙,2019,127.07079404,37.14235071
오원사거리,2019,127.06845708,37.14241282
컨벤션웨딩홀,2008,127.06868179,37.1437667
어울림복개천사거리,2020,127.07159124,37.1440955
원동 영무파라드 102동 앞 삼거리 ,2022,127.072627,37.144489
제노호텔 사거리,2022,127.072644,37.145051
오산역1번출구,2007,127.06776493,37.14568039
우먼필옆 공영주차장,2010,127.07165549,37.14630487
원동 아이러브안경,2018,127.07001844,37.14633292
운암고등학교,2019,127.0741455,37.14296128
운암고 돌고래포차 앞,2016,127.07422213,37.14432662
운암 국민은행 ,2008,127.07454423,37.14624139
운암 오산지구대,2010,127.0760732,37.14761156
시티자이 108동 삼거리,2017,127.08774951,37.14846474
시청 스타벅스 앞,2010,127.07465393,37.14861686
시티자이 201동 앞,2017,127.09085436,37.14948589
운암4단지 후문 초심 앞,2017,127.0750797,37.14983633
시청후문,2010,127.07618128,37.14995368
시티자이 1단지 후문앞,2017,127.08983384,37.15080173
다온유치원앞 파리바게트,2017,127.09114212,37.15097489
"자연드림, 취선루 앞",2010,127.07443393,37.15101594
다온초등학교 앞,2017,127.09149268,37.15194889
운산초,2013,127.07711979,37.15318863
오산동-KT후문,2008,127.07453799,37.15355513
부산동 롯데물류센터,2020,127.09602332,37.15554619
운천초교 입구,2008,127.07844083,37.15593563
운암2단지 근린공원삼거리,2009,127.07572488,37.15647505
롯데인재개발원앞,2021,127.09224,37.157245
보건소 옆,2019,127.07816516,37.15973495
원동 동규약국,2010,127.06861463,37.14656162
중앙동 성심약국,2010,127.07010138,37.14879344
중앙동 세명프라자,2010,127.07162013,37.14898302
성호초 후문 오색시장 입구,2010,127.07165021,37.15104446
오색시장 대원약국 앞,2009,127.06874177,37.15388895
은계동 신흥연립앞,2015,127.06984584,37.15762608
은계동 공영주차장 앞,2016,127.07197391,37.16278783
