rd_rte_nm,rd_rte_way,inst_plc,inst_yr,gbn,lon,lat
경기대로,양방향,오산원동힐스테이트아파트101동앞(원동119센터→소리울도서관),2023,속도,127.0728085,37.13175167
경기대로,양방향,오산원동힐스테이트아파트101동앞(소리울도서관→원동119센터),2023,속도,127.0728085,37.13175167
남부대로,양방향,애니카랜드 맞은편(고현초교)(대원동→고현초등학교),2023,신호,127.083644,37.13371054
국도1,양방향,경부고속도로 175 경부고속도로 시점3/4차로(서울→부산),2021,속도,127.087274,37.1346334
국도1,양방향,경부고속도로 176 경부고속도로 시점5차로(서울→부산),2021,속도,127.087274,37.1346892
국도1,양방향,경부고속도로 174 경부고속도로 시점1/2차로(서울→부산),2021,속도,127.0872886,37.1346892
남부대로,양방향,애니카랜드앞(고현초교)(고현초등학교→대원동),2023,신호,127.0824574,37.13501053
남부대로,양방향,한전사거리(원동푸르지오아파트→원동초교),2022,신호,127.0726725,37.13611082
남부대로,양방향,지예뜰유치원앞(성호고교→오산고현초교),2023,신호,127.0836612,37.13716657
남부대로,양방향,지예뜰유치원앞(오산고현초교→성호고교),2023,신호,127.0836574,37.137529
경기대로,양방향,대원초등학교(한전사거리→갈곶리삼거리),2023,신호,127.0712268,37.12973993
경기대로,양방향,힐스테이트아파트 103동앞(대원초교)(평택→오산시,2021,신호,127.0722907,37.13172826
경기대로,양방향,시립비둘기어린이집앞(우방힐타운아파트→소리울도서관),2023,속도,127.0722579,37.13362523
경기대로,양방향,시립비둘기어린이집앞(소리울도서관→우방힐타운아파트),2023,속도,127.0722579,37.13362523
오산로,양방향,원동초교앞(오산역→진위역),2023,신호,127.0689984,37.13446294
오산로,양방향,원동초등학교(갈곶리삼거리→오원사거리),2023,신호,127.0687317,37.13518742
오산로132번길,양방향,원일초등학교(오산복합물류센터→원일중학교),2023,신호,127.0723791,37.13856423
오산로132번길,양방향,원일초교앞교차로(원일중학교→쿠팡오산물류센터),2021,신호,127.0716949,37.13920296
성호대로,양방향,중원사거리(남촌오거리→오산시청),2023,신호,127.06862,37.14869164
성호대로,양방향,성호초등학교입구(오산시청→남촌오거리),2021,신호,127.0700323,37.14909482
부원로,양방향,오산원동한양수자인아파트(오산시청→성호중고교),2020,신호,127.0858366,37.14108739
부원로87번길,양방향,원동한양수자인아파트정문(원당초교)(원당초등학교→오산IC),2023,신호,127.0865084,37.14180976
운천로,양방향,운암초등학교앞(운암고등학교→운암주공6단지),2023,신호,127.0762066,37.14385503
운천로,양방향,운암초등학교 맞은편(운암주공6단지→운암고등학교),2023,신호,127.0753641,37.14596567
동부대로,양방향,운암중삼거리(오산TG→오산경찰서),2022,신호,127.0786992,37.14672159
상호대로,양방향,그린숲어린이집앞(오산시티자이1차1단지아파트→오산시청),2018,신호,127.084081,37.14838546
경기대로,양방향,롯데마트사거리(병점→평택),2023,신호,127.0733203,37.14861661
부산중앙로,양방향,다온초교앞사거리(동탄→오산시청),2018,신호,127.0909843,37.1504216
부산중앙로,양방향,다온초교앞사거리(오산시청→동탄),2018,신호,127.0912593,37.1506696
운암로,양방향,운산초등학교사거리(운천초교→오산시청),2021,신호,127.0766143,37.15314505
남부대로,양방향,탑동대교앞삼거리(정남→오산IC),2022,신호,127.0541957,37.134138
수목원로,양방향,누읍어린이공원앞사거리(가수동→남부대로),2022,신호,127.0548355,37.14172668
초평중앙로,양방향,오산초등학교 맞은편(향남→오산역),2022,신호,127.049046,37.1437412
초평중앙로,양방향,오산초등학교앞(오산역→향남),2022,신호,127.049046,37.1437412
가수로,양방향,가수초등학교 맞은편(서동→남촌오거리),2022,신호,127.0472681,37.14722267
가수로,양방향,가수초등학교앞(남촌오거리→서동),2022,신호,127.0463169,37.1476242
청학로,양방향,중앙어린이집건너편(오산대역→초평동),2023,속도,127.0572266,37.15549559
가장산업동로,양방향,시립보듬이나눔이어린이집앞(정남면→쉼터공원앞삼거리),2023,신호,127.040102,37.16243806
가장산업동로,양방향,시립보듬이나눔이어린이집건너편(쉼터공원앞삼거리→정남면),2023,신호,127.0393914,37.16251218
세마문학로,양방향,세마초등학교 맞은편(세마역→오산세교e편한세상),2023,신호,127.0266341,37.1687407
성호대로,양방향,성산초등학교앞교차로(오산시청→남촌오거리),2021,신호,127.065517,37.1494287
청학로,양방향,오산대학교교차로(중앙어린이집)(초평동→오산대역),2023,신호,127.0633936,37.1536428
궐리사로,양방향,대호초등학교(세교2지구→오산시법원),2022,신호,127.0578872,37.15910662
권리사로,양방향,대호초교앞사거리(오산시법원→가장동),2018,신호,127.0576083,37.160006
청학로147번길,양방향,매홀초등학교 맞은편(공덕그린빌라→대우아파트앞교차로),2022,신호,127.064257,37.16158927
매홀로,양방향,매홀초등학교(궐동제2어린이공원→오산대우아파트),2022,신호,127.0632836,37.162749
내삼미로,양방향,화성초등학교 맞은편(세미초등학교→수청공원),2022,신호,127.0669361,37.1639
내삼미로,양방향,화성초등학교앞(수청공원→세미초등학교),2022,신호,127.0691917,37.16477164
경기대로,양방향,더샵오산센트럴시티 106동앞(오산→수원),2022,속도,127.0646065,37.16834437
내삼미로,양방향,스마트시티 통합운영센터(세미초교→화성초교),2022,신호,127.0665394,37.16878137
세마문학로,양방향,세마초등학교앞(오산세교e편한세상→세마역),2023,신호,127.0275815,37.1696802
오산대역로,양방향,수청초등학교앞(오산대역→금암교차로),2023,속도,127.0572712,37.17026252
서부로,양방향,세교터널입구(평택→수원),2018,속도,127.0418064,37.171897
여계산로,양방향,문시초등학교 맞은편(금양초교→오산세교2지구),2023,신호,127.0444374,37.17484909
여계산로,양방향,문시초등학교앞(오산세교2지구→금양초교),2023,신호,127.044801,37.1748643
수청로,양방향,물향기유치원입구사거리(세교고교→수청동제2어린이공원),2023,신호,127.055368,37.1754433
독산성로310번길,양방향,세교동→정남면,2018,속도,127.023914,37.17550701
수청로,양방향,물향기유치원입구사거리(수청동제2어린이공원→세교고교),2023,신호,127.0542733,37.17573431
수청로,양방향,세교유치원앞(시립오산세교복지타운어린이집)(세교터널→세교고교),2023,신호,127.044545,37.17639737
수청로,양방향,세교유치원앞(시립오산세교복지타운어린이집)(세교고교→세교터널),2023,신호,127.0436415,37.176623
경기대로,양방향,오산대역앞삼거리(병점→오산시청),2020,신호,127.0633557,37.17013355
수청로,양방향,시립매홀어린이집앞삼거리(수청동제1어린이공원→물향기수목원),2023,속도,127.0589276,37.171615
