,gid,cctv_yn,gbn,camera_yn,signal_count,rd_type,crosswalks_count,crsswlk_type,crsswlk_wdth,crsswlk_lngth,speed_bumps_count,fac_hght,fac_wdth,fac_lngth,fac_type,cctv_state,road_bt,child_zones_yn,acc_density
5,다사552086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
18,다사554085,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
21,다사554088,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
46,다사557085,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
104,다사561083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
114,다사561093,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
117,다사561096,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
135,다사562093,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
160,다사563097,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
183,다사564095,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
184,다사564096,0,없음,0,0,없음,0,0,0.0,0.0,8,10.0,360.0,600.0,없음,없음,0.0,0,high
218,다사565101,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
219,다사565102,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
228,다사566081,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
277,다사567100,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
321,다사569081,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
566,다사576089,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,400.0,없음,없음,0.0,0,low
585,다사576108,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
586,다사576109,1,없음,0,4,기타,0,0,0.0,0.0,3,10.0,360.0,600.0,없음,없음,0.0,0,low
587,다사576110,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
597,다사577083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
624,다사577110,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
641,다사578088,0,없음,0,4,시도,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
703,다사579109,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,유치원,N,4.0,1,low
712,다사580070,0,없음,0,5,지방도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
720,다사580078,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
722,다사580080,1,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
732,다사580090,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
777,다사581081,1,없음,0,29,기타,11,1,4.909090909090909,12.545454545454543,0,0.0,0.0,0.0,없음,없음,0.0,0,low
779,다사581083,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
787,다사581091,0,없음,0,0,없음,1,1,3.0,5.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
804,다사581108,0,없음,0,9,기타,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
826,다사582070,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
863,다사582107,0,없음,0,0,없음,0,0,0.0,0.0,2,10.0,360.0,600.0,없음,없음,0.0,0,low
864,다사582108,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
865,다사582109,0,없음,0,29,기타,1,1,8.0,20.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
890,다사583070,0,없음,0,12,지방도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
918,다사583098,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
927,다사583107,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,600.0,없음,없음,0.0,0,low
963,다사584075,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
965,다사584077,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
981,다사584093,0,없음,0,4,시도,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
993,다사584105,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
999,다사584111,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1004,다사585046,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1044,다사585086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1052,다사585094,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1065,다사585107,0,없음,0,0,없음,0,0,0.0,0.0,1,10.0,360.0,1500.0,없음,없음,0.0,0,low
1069,다사585111,1,없음,0,0,없음,0,0,0.0,0.0,3,10.0,360.0,600.0,없음,없음,0.0,0,low
1099,다사586070,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1103,다사586074,0,없음,0,16,기타,8,1,4.0,12.75,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1106,다사586077,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1115,다사586086,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1116,다사586087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1124,다사586095,0,없음,0,15,시도,3,1,5.333333333333333,16.0,3,10.0,360.0,400.0,없음,없음,0.0,0,low
1133,다사586104,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1139,다사586110,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1170,다사587069,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1172,다사587071,0,없음,0,16,시도,2,1,8.0,21.5,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1173,다사587072,0,없음,0,0,없음,1,1,7.0,17.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1188,다사587087,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
1218,다사588043,0,없음,0,5,시도,2,4,5.0,4.5,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1219,다사588044,0,없음,0,0,없음,1,4,5.0,12.0,0,0.0,0.0,0.0,없음,없음,0.0,0,high
1220,다사588045,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0,low
