gid,total,cctv_yn,gbn,camera_yn,signal_count,rd_type,crosswalks_count,crsswlk_type,crsswlk_wdth,crsswlk_lngth,speed_bumps_count,fac_hght,fac_wdth,fac_lngth,fac_type,cctv_state,road_bt,child_zones_yn
다사551085,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사551086,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사551087,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사551088,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사552085,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사552086,1,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사552087,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사552088,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사552089,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553084,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553085,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553086,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553087,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553088,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553089,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553090,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사553091,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554084,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554085,1,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554086,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554087,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554088,1,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554089,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554090,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사554091,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555084,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555085,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555086,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555087,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555088,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555089,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555090,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555091,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사555092,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사556083,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사556084,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
다사556085,0,0,없음,0,0,없음,0,0,0.0,0.0,0,0.0,0.0,0.0,없음,없음,0.0,0
