집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자
2023,경기도 오산시,오산시청,2023-12-01 04:32,(앱)오산동올래양꼬치부근횡단보도/1분이상),안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:17,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:17,시티자이1단지후문앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:17,대호중앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:18,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:18,(앱)가수동가수주공아파트부근인도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:20,GS25오산타운점맞은편,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:25,중앙동세명프라자,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:25,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:27,어울림복개천사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:27,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:28,원동공룡국수옆사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:31,(앱)세교동세마역2번출구부근모퉁이/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:33,궐동아씨닭발뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:34,우성빌라앞삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:35,대우A신협앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:40,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:50,스위첸사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:52,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:52,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:55,대호중앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:56,궐동매홀초앞사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:56,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 07:59,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:04,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:07,내삼미동임마누엘교회옆,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:09,궐동양평해장국사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:09,우미아파트프라자빌,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:12,GS25오산타운점맞은편,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:12,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:16,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:18,영무파라드102동앞삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:20,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:21,궐동우남퍼스트빌후문버스정류장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:23,중앙동세명프라자,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:24,내삼미동임마누엘교회옆,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:29,궐동프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:33,궐동양평해장국사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 08:57,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:02,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:12,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:23,앱)세교동스윗아미부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:26,(앱)오산동명성교회부근모퉁이/1분이상),안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:47,우성빌라앞삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:47,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:53,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 09:55,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:19,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:26,오산대역2번출입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:27,오산동현대빌라,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:28,궐동프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:30,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:36,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:36,오산동성호대로121부,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:38,오산동성호대로121부,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:38,오산동성호대로127부,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:38,오산동성호대로127부,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:38,오산동운암로45부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:38,오산동운암로45부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:43,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:46,우성빌라앞삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:47,궐동양평해장국사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:47,오산동현대빌라,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:50,우먼필옆공영주차장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 10:51,오산대역2번출입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:01,궐동프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:01,운천초교입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:01,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:05,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:07,궐동우남퍼스트빌후문버스정류장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:14,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 11:17,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 13:00,앱)궐동대박부동산부근모퉁이/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:22,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:25,오산역1번출구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:26,원동공룡국수옆사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:26,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:28,영무파라드102동앞삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:29,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:31,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:33,법원앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:39,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:42,청학동청학로45부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:43,궐동궐동로69번서길11,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:45,궐동궐리사로46번길40,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:45,궐동궐리사로46번길40,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:46,궐동궐리사로46번길40,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:47,궐동궐리사로46번길63,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:50,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:51,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:51,궐동궐리사로29번길13,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:52,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:52,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:52,궐동수목원로326부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:52,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:52,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,궐동수목원로326부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,궐동대호로117번길39,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:53,궐동대호로117번길39,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:54,궐동대호로117번길22,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:54,궐동대호로117번길22,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:55,궐동대호로117번길22,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:55,궐동대호로117번길42-,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:55,궐동대호로117번길42-,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:55,궐동대호로117번길42-,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:57,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:57,원동공룡국수옆사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:57,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:57,궐동대호로71번길48-6,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:57,궐동대호로71번길28부,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:58,궐동대호로71번길6-13,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:58,궐동대호로71번길6-13,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:58,궐동대호로71번길6-13,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 14:59,GS25궐동승리점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:02,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:04,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:07,오산동현대빌라,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:08,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:09,중앙동세명프라자,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:09,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:09,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:17,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:17,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:19,수청동내삼미로83부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:19,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:19,수청동내삼미로89부근,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:20,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:20,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:20,수청동내삼미로79번길,이동형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:24,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:29,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:33,법원앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:42,한신대GS25앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:54,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:58,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:59,원동아이러브안경,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:02,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:16,오산대역더샵후문,고정형CCTV,2024-01-22
